<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;60;15/03/24;100000;295.75;297.51;295.29;296.76;4999740
SBER;60;15/03/24;110000;296.76;296.8;296.42;296.77;1337480
SBER;60;15/03/24;120000;296.78;297.48;296.74;297.09;1520810
SBER;60;15/03/24;130000;297.1;297.9;297.05;297.89;1842330
SBER;60;15/03/24;140000;297.85;299.44;297.8;299.16;5309240
SBER;60;15/03/24;150000;299.16;299.44;298.8;298.85;2432380
SBER;60;15/03/24;160000;298.86;299;298.5;298.86;1369240
SBER;60;15/03/24;170000;298.85;299.3;298.61;299.26;1890510
SBER;60;15/03/24;180000;299.27;299.27;298.6;298.6;1661340
SBER;60;15/03/24;190000;298.61;298.93;298.5;298.51;608930
SBER;60;15/03/24;200000;298.51;298.68;298.2;298.61;950310
SBER;60;15/03/24;210000;298.63;298.76;298.45;298.5;497690
SBER;60;15/03/24;220000;298.5;298.58;298.1;298.4;760710
SBER;60;15/03/24;230000;298.39;298.59;298.09;298.3;822040
SBER;60;18/03/24;100000;299.41;299.98;297.63;298.88;6373880
SBER;60;18/03/24;110000;298.86;298.89;298.05;298.33;1626420
SBER;60;18/03/24;120000;298.32;299.3;298.31;298.96;1477310
SBER;60;18/03/24;130000;298.97;299.3;298.89;299.18;938240
SBER;60;18/03/24;140000;299.18;299.83;299.09;299.7;1804630
SBER;60;18/03/24;150000;299.7;299.8;299.33;299.39;1290710
SBER;60;18/03/24;160000;299.39;299.76;299.27;299.46;1056730
SBER;60;18/03/24;170000;299.46;299.95;299.42;299.59;2225960
SBER;60;18/03/24;180000;299.6;299.8;299.04;299.11;1259120
SBER;60;18/03/24;190000;299;299.61;299;299.3;624680
SBER;60;18/03/24;200000;299.3;299.3;298.82;298.94;698720
SBER;60;18/03/24;210000;298.89;299.18;298.89;299.05;350140
SBER;60;18/03/24;220000;299.03;299.2;299.02;299.19;254870
SBER;60;18/03/24;230000;299.19;299.2;298.87;298.87;232540
SBER;60;19/03/24;100000;298.3;299.14;298.1;298.6;3153920
SBER;60;19/03/24;110000;298.6;299.4;298.55;299.28;2263910
SBER;60;19/03/24;120000;299.27;299.3;298.84;298.9;1227650
SBER;60;19/03/24;130000;298.9;299.09;298.71;298.99;858710
SBER;60;19/03/24;140000;298.99;299.09;296.58;297.21;7007000
SBER;60;19/03/24;150000;297.24;297.51;295.51;296.74;16224320
SBER;60;19/03/24;160000;296.74;297.33;296.54;296.63;5157370
SBER;60;19/03/24;170000;296.63;296.92;294.21;294.66;11790910
SBER;60;19/03/24;180000;294.66;295.89;294.61;295.7;5530140
SBER;60;19/03/24;190000;295.69;296.53;295.41;296.15;2570820
SBER;60;19/03/24;200000;296.12;296.33;295.68;295.68;882650
SBER;60;19/03/24;210000;295.69;295.77;295.3;295.38;741990
SBER;60;19/03/24;220000;295.4;295.72;295;295.15;1436570
SBER;60;19/03/24;230000;295.15;295.27;294.99;295.2;800730
SBER;60;20/03/24;100000;295.4;296.68;294.99;296.5;6096540
SBER;60;20/03/24;110000;296.5;296.88;295.83;295.94;4049260
SBER;60;20/03/24;120000;295.94;296.23;295.5;295.8;1919240
SBER;60;20/03/24;130000;295.81;296.15;295.43;295.56;2080950
SBER;60;20/03/24;140000;295.56;295.69;294.3;295.1;4082470
SBER;60;20/03/24;150000;295.1;295.1;293.52;294.7;4164340
SBER;60;20/03/24;160000;294.7;295.87;294.6;295.75;2420720
SBER;60;20/03/24;170000;295.74;295.82;294.49;295.71;1677190
SBER;60;20/03/24;180000;295.71;295.83;295;295;1324810
SBER;60;20/03/24;190000;294.56;295.37;294.56;295.3;726970
SBER;60;20/03/24;200000;295.31;295.48;295.15;295.47;389340
SBER;60;20/03/24;210000;295.47;295.6;295.23;295.43;470080
SBER;60;20/03/24;220000;295.44;295.45;294.9;295.07;725300
SBER;60;20/03/24;230000;295.02;295.64;295.01;295.4;519440
SBER;60;21/03/24;100000;295.95;297.3;295.39;296.8;5314880
SBER;60;21/03/24;110000;296.81;297;296.55;296.88;2172800
SBER;60;21/03/24;120000;296.86;297.12;296.3;296.49;1954000
SBER;60;21/03/24;130000;296.49;296.5;295.87;295.93;2527570
SBER;60;21/03/24;140000;295.93;296.02;294.1;294.49;6930710
SBER;60;21/03/24;150000;294.5;294.6;292.57;293.61;15498780
SBER;60;21/03/24;160000;293.6;293.71;292.29;292.32;9899130
SBER;60;21/03/24;170000;292.33;295.2;291.8;295;12703800
SBER;60;21/03/24;180000;295;296.3;295;295.99;9739460
SBER;60;21/03/24;190000;295.98;296.77;295.43;296.71;1467180
SBER;60;21/03/24;200000;296.71;296.75;295.67;295.99;1137310
SBER;60;21/03/24;210000;295.97;296.1;295.31;295.35;607440
SBER;60;21/03/24;220000;295.33;295.9;295.14;295.84;424360
SBER;60;21/03/24;230000;295.83;295.83;295.61;295.62;204140
SBER;60;22/03/24;100000;295.77;296.6;295.01;296.04;3805000
SBER;60;22/03/24;110000;296.04;296.06;295.26;295.44;2313730
SBER;60;22/03/24;120000;295.44;296.03;295.39;295.85;1469340
SBER;60;22/03/24;130000;295.85;296.79;294.66;296.36;5563040
SBER;60;22/03/24;140000;296.35;296.49;295.74;296.14;2155330
SBER;60;22/03/24;150000;296.15;296.4;295.72;296.2;2268890
SBER;60;22/03/24;160000;296.2;296.26;295.79;295.87;1804160
SBER;60;22/03/24;170000;295.91;295.98;294.5;295.14;3639720
SBER;60;22/03/24;180000;295.12;295.44;294.79;295.44;1134940
SBER;60;22/03/24;190000;295.26;295.32;294.78;295.07;583570
SBER;60;22/03/24;200000;295.07;295.1;292.5;293.03;5041360
SBER;60;22/03/24;210000;293.01;294.5;291.05;292.72;11052780
SBER;60;22/03/24;220000;292.72;293.31;292;292.48;5216040
SBER;60;22/03/24;230000;292.47;293.03;292.01;292.99;2918460
SBER;60;25/03/24;100000;294;294.93;293.23;293.71;5353830
SBER;60;25/03/24;110000;293.72;293.98;293.01;293.21;2550120
SBER;60;25/03/24;120000;293.21;293.21;292.13;292.5;3604330
SBER;60;25/03/24;130000;292.49;293.57;292.2;293.12;2380190
SBER;60;25/03/24;140000;293.12;293.5;293.01;293.38;982450
SBER;60;25/03/24;150000;293.39;293.49;292.6;293.39;1509270
SBER;60;25/03/24;160000;293.39;294.28;293.25;294.14;3121610
SBER;60;25/03/24;170000;294.13;294.77;293.83;294.74;2070450
